field,tuition,earnings_2018,earnings_2024_adjusted,estimated_debt,enrollment,total_tuition,debt_to_income,payback_years,earnings_5yr,roi_5yr_w_debt,roi_5yr_w_tuition,earnings_per_dollar_tuition
education,5403.0,23342.98323036187,28245.009708737864,19832.564203670678,3291024.0,21612.0,0.7021617060211272,9.362156080281695,30864.084724,6.451015136736297,5.837531745412024,1.3069132754366954
health,6435.0,27620.760784313727,33421.12054901961,23620.68307433293,9199782.0,25740.0,0.7067591596663515,9.423455462218017,36520.16079416855,6.40254643812448,5.793053743510893,1.2984118317412434
social_sciences,6078.0,23954.072700296736,28984.42796735905,22310.25823244686,9961917.0,24312.0,0.7697325701087377,10.263100934783171,31672.067019488353,5.796928833686897,5.237299994534325,1.1921860796050943
business,7690.0,28137.972456006122,34046.94667176741,28227.35863894642,15262449.0,30760.0,0.829071661288008,11.05428881717344,37204.01789580038,5.31045269581653,4.79087813455525,1.1068578241796947
comp_sci,7407.0,26651.008790288823,32247.720636249476,27188.56247577063,5267283.0,29628.0,0.8431157904911928,11.241543873215905,35237.955027686985,5.205336869508734,4.6944170770838785,1.0884204345973227
personal_services,6204.0,20794.676180021954,25161.558177826562,22772.761117818412,1553295.0,24816.0,0.9050616403354041,12.067488537805389,27494.713982981884,4.780620089103716,4.30466958422071,1.0139248137422052
agriculture,6416.0,20119.17348256565,24344.199913904435,23550.940575745157,1291170.0,25664.0,0.9674148527795239,12.898864703726984,26601.56453932105,4.408039255308336,3.9627653963943152,0.948573874450765
physical_sciences,6205.0,17769.337278106508,21500.898106508874,22776.431775638823,6194085.0,24820.0,1.05932466926783,14.124328923571063,23494.611885231123,3.938823433250222,3.5321827147199834,0.8662730905120416
humanities,6127.0,15499.163926726162,18753.988351338656,22490.12046564691,7677327.0,24508.0,1.1992180033556206,15.989573378074942,20492.989429193236,3.362690924719663,3.003486390212572,0.7652190448563185
visual_arts,6346.0,12793.851750795817,15480.560618462938,23293.994528316514,2774625.0,25384.0,1.5047255136570998,20.06300684876133,16916.02656293115,2.476924829489027,2.1906503290846686,0.6098550511528104
